text,span,label,ordinal
after using 3 days here is my concern regarding the phone pros  1 excellent display and design  2  battery performance is very good  3camera quality  4sound quality is impressive  cons  1phone is getting heated while charging  2while first time using fingerprint after switch on the phone feeling some lag  overall  having a good experience till now by using the phone ,display,positive,0
all things is good in this phone camera quality display battery totally in best in this range,display,positive,0
positive point  1 camera quality is good but not enough 710 2 battery  quality is good 1 day backup for normal users  810 3 design  910 4 display 910 5 performance 710  negetive point  1wifi calling is too bad 210,design,positive,0
the camera of the phone is very good moto has improved its camera quality previously i was using moto g 40 so comparing the battery edge 50 fusions battery is not that good although it gives 1 day complete backup performance wise also its good finally the design of this phone is the best thing,design,positive,0
im thoroughly impressed with this mobile the camera is a standout feature with its ability to take clear and detailed photos in a variety of settings the phone is fast responsive and handles all the tasks i throw at it with ease the design is both modern and durable and it fits comfortably in my pocket plus the sound quality on calls is crystal clear a fantastic allaround phone,design,positive,0
the camera quality is highly praised with features like 144hz 50mp and a dedicated macro camera the display is consistently described as stunning with a curved edge and high refresh rate the phones design is frequently mentioned as premium and sleek,design,positive,0
after using 3 days here is my concern regarding the phone pros  1 excellent display and design  2  battery performance is very good  3camera quality  4sound quality is impressive  cons  1phone is getting heated while charging  2while first time using fingerprint after switch on the phone feeling some lag  overall  having a good experience till now by using the phone ,design,positive,0
writing review after 2 weeks of using s24 1 camera  55 2 performance  55 3 battery backup  355 4 display  55 5 display  455,battery,neutral,0
better than iphone 15 awesome   awesome display   even good battery backup  smartest smartphone s24  to samsung,battery,positive,0
wonderful product camera 1010 battery 910 performance 9510 overall design 1010 display 1010  must buy it,battery,positive,0
flawless for day to day use does the job intended good buy  would recommend for people who love to have power packed compact phone battery life is decent charges 100 percent in 1 hour beautiful display camera that does the intended job smooth processes good connectivity,battery,positive,0
the samsung galaxy s24s camera system is outstanding capturing stunning photos and videos the premium build and vibrant display offer an excellent user experience the battery life is impressive with fast charging capabilities the one ui software is userfriendly and customizable however the high price may be a concern for some buyers overall its a topperforming smartphone that exceeds expectations,battery,positive,0
using it for 2 days  looks  1010 screen  1010 battery  710 camera  710,battery,neutral,0
positive point  1 camera quality is good but not enough 710 2 battery  quality is good 1 day backup for normal users  810 3 design  910 4 display 910 5 performance 710  negetive point  1wifi calling is too bad 210,camera,positive,0
im thoroughly impressed with this mobile the camera is a standout feature with its ability to take clear and detailed photos in a variety of settings the phone is fast responsive and handles all the tasks i throw at it with ease the design is both modern and durable and it fits comfortably in my pocket plus the sound quality on calls is crystal clear a fantastic allaround phone,camera,positive,0
phone is beast and camera quality is awesomei play bgmi upto 4 hrs little lagg issues but performance is top notch,camera,positive,0
after using 3 days here is my concern regarding the phone pros  1 excellent display and design  2  battery performance is very good  3camera quality  4sound quality is impressive  cons  1phone is getting heated while charging  2while first time using fingerprint after switch on the phone feeling some lag  overall  having a good experience till now by using the phone ,camera,positive,0
awesome mobile phone the camera quality very much good ,camera,positive,0
all things is good in this phone camera quality display battery totally in best in this range,camera,positive,0
better than iphone 15 awesome   awesome display   even good battery backup  smartest smartphone s24  to samsung,display,positive,0
wonderful product camera 1010 battery 910 performance 9510 overall design 1010 display 1010  must buy it,display,positive,0
best display better performance issues observe in camera quality i hope samsung resolves it soon no heating issue observe yet,display,positive,0
flawless for day to day use does the job intended good buy  would recommend for people who love to have power packed compact phone battery life is decent charges 100 percent in 1 hour beautiful display camera that does the intended job smooth processes good connectivity,display,positive,0
the samsung galaxy s24s camera system is outstanding capturing stunning photos and videos the premium build and vibrant display offer an excellent user experience the battery life is impressive with fast charging capabilities the one ui software is userfriendly and customizable however the high price may be a concern for some buyers overall its a topperforming smartphone that exceeds expectations,display,positive,0
the samsung galaxy s23 fe 128gb variant delivers an almost flagshiplevel experience with its stunning display powerful performance and versatile camera system the only significant drawback is the battery life which might not suffice for power users nevertheless for those seeking a highquality smartphone at a reasonable price the galaxy s23 fe is a compelling choice that offers great value for moneyoverall despite the battery backup issue my experience with the samsung galaxy s23 fe has been amazing making it a device i can confidently recommend to others,display,positive,0
battery backup is at worst and mobile hitting so much even during normal use except than that everything is just wow display performance camera design are awesome,display,positive,0
wonderful product camera 1010 battery 910 performance 9510 overall design 1010 display 1010  must buy it,design,positive,0
the samsung galaxy s23 fe 128gb variant delivers an almost flagshiplevel experience with its stunning display powerful performance and versatile camera system the only significant drawback is the battery life which might not suffice for power users nevertheless for those seeking a highquality smartphone at a reasonable price the galaxy s23 fe is a compelling choice that offers great value for moneyoverall despite the battery backup issue my experience with the samsung galaxy s23 fe has been amazing making it a device i can confidently recommend to others,performance,positive,0
no doubt paisa vasool product at this price range 34k  camera 5 desi 45  battery 4 performance 45  just buy it utilise summersale ,performance,negative,0
everything is good in this phone only battery performance is average,performance,positive,0
battery backup is at worst and mobile hitting so much even during normal use except than that everything is just wow display performance camera design are awesome,performance,positive,0
positive point  1 camera quality is good but not enough 710 2 battery  quality is good 1 day backup for normal users  810 3 design  910 4 display 910 5 performance 710  negetive point  1wifi calling is too bad 210,performance,positive,0
the camera of the phone is very good moto has improved its camera quality previously i was using moto g 40 so comparing the battery edge 50 fusions battery is not that good although it gives 1 day complete backup performance wise also its good finally the design of this phone is the best thing,performance,positive,0
phone is beast and camera quality is awesomei play bgmi upto 4 hrs little lagg issues but performance is top notch,performance,positive,0
after using 3 days here is my concern regarding the phone pros  1 excellent display and design  2  battery performance is very good  3camera quality  4sound quality is impressive  cons  1phone is getting heated while charging  2while first time using fingerprint after switch on the phone feeling some lag  overall  having a good experience till now by using the phone ,performance,positive,0
phone is awesome and camera quality is super awesome every picture is excellent  performance good but some times feel the phone is stucked battery is becoming hot when i use camera overall phone is superb  loved it ,performance,positive,0
the handset is pretty good but a average battery health,battery,positive,0
no doubt paisa vasool product at this price range 34k  camera 5 desi 45  battery 4 performance 45  just buy it utilise summersale ,battery,negative,0
everything is good in this phone only battery performance is average,battery,positive,0
only battery is decent  but overall phone is best in all aspects,battery,positive,0
battery backup is at worst and mobile hitting so much even during normal use except than that everything is just wow display performance camera design are awesome,battery,positive,0
over all its good only drawback is the battery back up but for moderate users its fine,battery,positive,0
the iphone 15 exceeded my expectations in every way possible the sleek design stunning display and lightningfast performance make it a standout device in the smartphone market the camera quality is unparalleled capturing every moment with incredible detail and clarity plus the battery life is impressive easily lasting me throughout the day  with the added bonus of a great deal and discount purchasing the iphone 15 from flipkart was an absolute steal,camera,positive,0
i recently purchased the iphone 15 from flipkart and im thrilled with my experience the sleek design and vibrant display are stunning and the performance is topnotch with its powerful a16 bionic chip the camera quality is exceptional capturing detailed and vivid photos even in low light battery life has been impressive easily lasting a full day with heavy use flipkarts delivery was prompt and the packaging was secure overall im extremely satisfied with my purchase and would highly recommend the iphone 15 to anyone looking for a premium smartphone,camera,positive,0
nice overall performance loved the inhand feel of the device  amazing camera quality,camera,positive,0
the iphone 15 dressed in a mesmerizing shade of blue boasts exceptional camera prowess ensuring stellar image quality its lighting weight design and impressive battery life redefine convenience and longevity we got this phone for my father who is retired and upon receiving it was overjoyed  definitely worth it,camera,positive,0
it is a really good phone for daily tasks the cameras are great 48mp photos are very sharp and detailed you can relay on this phone for 5 years i have other apple products and the ecosystem is also great everything works seamlessly   for those who are switching from android battery life is good in this phone but compared to my previous phone which had 4500mah battery i have to charge this phone 2 times in a day almost after limiting the battery to 80  overall it is a great phone the video quality is great  if you want an android alternative then you can buy s24 or s23 and if you want batter backup and ios then go for plus model,camera,positive,0
awesome experience entering the apple ecosystem below are some of the pros and cons  pros 2 camera is awesome and clicks good photos even in daylight and night 3 size is perfect and easy to handle 4 apple ecosystem is the best 5 battery charging rate is good and not too slow and battery backup is also lasting 1 day for a normal usage 6 dynamic island is the best upgrade from 14 7 texture and phone build quality has improved a lot  cons 1 sometimes phone gets heated but that is manageable  2 of course we have to purchase charger cover nd temper glass which is costly,camera,positive,0
the camera quality is just awesome just like dslr,camera,positive,0
the iphone 15 exceeded my expectations in every way possible the sleek design stunning display and lightningfast performance make it a standout device in the smartphone market the camera quality is unparalleled capturing every moment with incredible detail and clarity plus the battery life is impressive easily lasting me throughout the day  with the added bonus of a great deal and discount purchasing the iphone 15 from flipkart was an absolute steal,design,positive,0
i recently purchased the iphone 15 from flipkart and im thrilled with my experience the sleek design and vibrant display are stunning and the performance is topnotch with its powerful a16 bionic chip the camera quality is exceptional capturing detailed and vivid photos even in low light battery life has been impressive easily lasting a full day with heavy use flipkarts delivery was prompt and the packaging was secure overall im extremely satisfied with my purchase and would highly recommend the iphone 15 to anyone looking for a premium smartphone,design,positive,0
overall the iphone 15 is a fantastic phone for everyday use it offers a compelling blend of performance camera prowess no doubt the best camera and battery life as per my use it is easily lasting 1 full day however the lack of a high refresh rate display and the underwhelming charging speed hold it back from being truly exceptional  pros superb cameras the 48mp main sensor captures stunning photos with excellent detail and dynamic range lowlight performance is also impressive and the video output is so amazing a16 bionic chip blazingfast performance handles demanding tasks and games effortlessly improved design the new matte finish and rounded edges feel fantastic in hand making it a comfortable phone to use finally usbc ditching the lightning port is a welcome change but the lack of usb 32 speeds is disappointing allday battery life easily lasts a full day on a single charge with normal usage  cons 60hz display competitors offer smoother 120hz displays at this price point making the iphone 15 feel dated in comparison slow charging takes significantly longer to charge compared to other flagships  additional notes this review is based on my personal experience using the iphone 15 for the past 1 month your experience may vary depending on your individual usage patterns and preferences be sure to consider your needs and budget before making a purchase decision,design,positive,0
the iphone 15 dressed in a mesmerizing shade of blue boasts exceptional camera prowess ensuring stellar image quality its lighting weight design and impressive battery life redefine convenience and longevity we got this phone for my father who is retired and upon receiving it was overjoyed  definitely worth it,design,positive,0
the iphone 15 exceeded my expectations in every way possible the sleek design stunning display and lightningfast performance make it a standout device in the smartphone market the camera quality is unparalleled capturing every moment with incredible detail and clarity plus the battery life is impressive easily lasting me throughout the day  with the added bonus of a great deal and discount purchasing the iphone 15 from flipkart was an absolute steal,battery,positive,0
i recently purchased the iphone 15 from flipkart and im thrilled with my experience the sleek design and vibrant display are stunning and the performance is topnotch with its powerful a16 bionic chip the camera quality is exceptional capturing detailed and vivid photos even in low light battery life has been impressive easily lasting a full day with heavy use flipkarts delivery was prompt and the packaging was secure overall im extremely satisfied with my purchase and would highly recommend the iphone 15 to anyone looking for a premium smartphone,battery,positive,0
the iphone 15 dressed in a mesmerizing shade of blue boasts exceptional camera prowess ensuring stellar image quality its lighting weight design and impressive battery life redefine convenience and longevity we got this phone for my father who is retired and upon receiving it was overjoyed  definitely worth it,battery,positive,0
the only thing i like about this phone is the camera quality and that is the reason i bought this phone i already have an android phone which is less than 50 of its price and still is better in every aspect except the camera well definitely iphone 15 has a flagship level chipset but i am not a gamer and a normal user and i find mid rangers and flagship all perform at similar level in daily tasks while iphone 15 only has 60hz screen which feels choppy all other phones have 120144hz screen which are smooth af ios itself feels like its missing so many features and unnecessarily extra steps are required to do tasks which are totally simplified in android  battery life is decent charging is fine nothing to complain camera is great in outdoor situation and video recording if you are not into camera why are you even buying this phone just go and buy android phones,battery,positive,0
the iphone 15 exceeded my expectations in every way possible the sleek design stunning display and lightningfast performance make it a standout device in the smartphone market the camera quality is unparalleled capturing every moment with incredible detail and clarity plus the battery life is impressive easily lasting me throughout the day  with the added bonus of a great deal and discount purchasing the iphone 15 from flipkart was an absolute steal,performance,positive,0
a mixed bag of brilliance  the iphone 15 flaunts an impressive camera setup capturing moments with exceptional clarity and detail however users may encounter heating issues post 80 charge which could disrupt prolonged usage occasionally screen touch glitches may hamper the otherwise seamless user experience despite these setbacks the iphone 15 excels in performance and features the standout dynamic island feature enhances productivity and personalization overall the iphone 15 is a commendable upgrade marred by minor hiccups if you prioritize camera quality and innovative features its still a worthy investment,performance,positive,0
i recently purchased the iphone 15 from flipkart and im thrilled with my experience the sleek design and vibrant display are stunning and the performance is topnotch with its powerful a16 bionic chip the camera quality is exceptional capturing detailed and vivid photos even in low light battery life has been impressive easily lasting a full day with heavy use flipkarts delivery was prompt and the packaging was secure overall im extremely satisfied with my purchase and would highly recommend the iphone 15 to anyone looking for a premium smartphone,performance,positive,0
nice overall performance loved the inhand feel of the device  amazing camera quality,performance,positive,0
the iphone 15 exceeded my expectations in every way possible the sleek design stunning display and lightningfast performance make it a standout device in the smartphone market the camera quality is unparalleled capturing every moment with incredible detail and clarity plus the battery life is impressive easily lasting me throughout the day  with the added bonus of a great deal and discount purchasing the iphone 15 from flipkart was an absolute steal,display,positive,0
i recently purchased the iphone 15 from flipkart and im thrilled with my experience the sleek design and vibrant display are stunning and the performance is topnotch with its powerful a16 bionic chip the camera quality is exceptional capturing detailed and vivid photos even in low light battery life has been impressive easily lasting a full day with heavy use flipkarts delivery was prompt and the packaging was secure overall im extremely satisfied with my purchase and would highly recommend the iphone 15 to anyone looking for a premium smartphone,display,positive,0
display and audio are great  the camera is good and further to explore battery back up is fare enough theres some heating issue quality is good however flipkart is not giving fare price in mobile exchange better go for cashify later once you receive the mobile,battery,positive,0
writing a review after more than 30 days of usage first of all hats off to display quality its excellent and gaming is butter smooth at 144hz second i would like to appreciate the battery backup which lasts for 15 days for normal usage and superb charging speed thirdly the camera quality is good i would say its not the best but yes clicks decent photos,battery,positive,0
awesome phone just go for it  camera quality superb battery life whole day  touch mind blowing,battery,positive,0
it feels great after carrying in handcamera quality is awsmbut battery backup is not up to the mark,battery,positive,0
display and audio are great  the camera is good and further to explore battery back up is fare enough theres some heating issue quality is good however flipkart is not giving fare price in mobile exchange better go for cashify later once you receive the mobile,display,positive,0
writing a review after more than 30 days of usage first of all hats off to display quality its excellent and gaming is butter smooth at 144hz second i would like to appreciate the battery backup which lasts for 15 days for normal usage and superb charging speed thirdly the camera quality is good i would say its not the best but yes clicks decent photos,display,positive,0
mobile is very good in build quality display water proof at this price is awesome i love clean ui like stock android need some features but it is ok nowadays apps are available for our requirements motorola has to do some work on uiux for betterment the camera quality is just amazing smooth working minor heating issue you can go for daily uses not recommended for gaming  5  for mobile  1  for spotify premium claim    on offer they claim free spotify for a year but every time when i go for a claim the site sees us just a quick repair needed it looks like they divert us to a specific page to avoid claims,display,positive,0
camera photos quality with flashlight are very bad on video call camera quality is very poor other wise display good but i will say not good phone for 23k,display,positive,0
awesome phone  camera is unbeatable in this price segment battery drain so much fast  design is fabulous in hand feeling very impressive overall the s23 fe is flagship killer,design,positive,0
its an excellent phone with great display performance camera it ticks almost all the boxes i faced heating issues for first 2 days while updates where happening  cons battery life first 2 days it was not even lasting one day now it improved and lasting one day but barely,camera,positive,0
awesome phone  camera is unbeatable in this price segment battery drain so much fast  design is fabulous in hand feeling very impressive overall the s23 fe is flagship killer,camera,positive,0
wonderful phone with good quality display and brilliant camera specially video with 60fps gives amazing result only backdraw is battery life phone needs to be charge 23 times a day but if you have 25w fast charger it will be enough,camera,positive,0
everything thing on this device is very good camera is awesome if you can manage battery efficiently then it is going to give you a good backup and with original charger it charge very fastbut if you dont know how to manage battery efficiently then you will face battery backup issue and if you know how to efficiently use this phone then phone will never heatbut if you dont know how to use this efficiently then you will face heating issue display is fantastic build quality is very good looks rich i am using this device performance and battery efficiently so im not facing any battery or heating issue phone works fast and can also play games on very good graphics i have experienced the phone charges very fast,camera,positive,0
pros 1 camera flagship level 2 display excellent 3 sound decent 4 softwareui excellent  cons 1 battery life is poor requires to be charged 2 times in a day had m51 previously which easily lasted for 2 days on medium usage even after 3 years this one is a very step down from that 2 phone gets heated on medium usage excluding gaming but still manageable,camera,positive,0
writing review after 2 weeks of using s24 1 camera  55 2 performance  55 3 battery backup  355 4 display  55 5 display  455,performance,neutral,0
wonderful product camera 1010 battery 910 performance 9510 overall design 1010 display 1010  must buy it,performance,positive,0
best display better performance issues observe in camera quality i hope samsung resolves it soon no heating issue observe yet,performance,positive,0
camera quality is awesome i purchased first time but overall i loved it motorola edge 50 fusion design also good  so this phone handgrip is fit to your hand  and also say you must go to buy this motorola series,design,positive,0
display and audio are great  the camera is good and further to explore battery back up is fare enough theres some heating issue quality is good however flipkart is not giving fare price in mobile exchange better go for cashify later once you receive the mobile,camera,positive,0
writing a review after more than 30 days of usage first of all hats off to display quality its excellent and gaming is butter smooth at 144hz second i would like to appreciate the battery backup which lasts for 15 days for normal usage and superb charging speed thirdly the camera quality is good i would say its not the best but yes clicks decent photos,camera,positive,0
mobile is very good in build quality display water proof at this price is awesome i love clean ui like stock android need some features but it is ok nowadays apps are available for our requirements motorola has to do some work on uiux for betterment the camera quality is just amazing smooth working minor heating issue you can go for daily uses not recommended for gaming  5  for mobile  1  for spotify premium claim    on offer they claim free spotify for a year but every time when i go for a claim the site sees us just a quick repair needed it looks like they divert us to a specific page to avoid claims,camera,positive,0
wow what a camera  and phone are also very nice good job moto company,camera,positive,0
awesome phone just go for it  camera quality superb battery life whole day  touch mind blowing,camera,positive,0
it feels great after carrying in handcamera quality is awsmbut battery backup is not up to the mark,camera,positive,0
camera quality is awesome i purchased first time but overall i loved it motorola edge 50 fusion design also good  so this phone handgrip is fit to your hand  and also say you must go to buy this motorola series,camera,positive,0
camera quality is absolutely amazing  i love it,camera,positive,0
writing review after 2 weeks of using s24 1 camera  55 2 performance  55 3 battery backup  355 4 display  55 5 display  455,camera,neutral,0
wonderful product camera 1010 battery 910 performance 9510 overall design 1010 display 1010  must buy it,camera,positive,0
best display better performance issues observe in camera quality i hope samsung resolves it soon no heating issue observe yet,camera,positive,0
flawless for day to day use does the job intended good buy  would recommend for people who love to have power packed compact phone battery life is decent charges 100 percent in 1 hour beautiful display camera that does the intended job smooth processes good connectivity,camera,positive,0
the samsung galaxy s24s camera system is outstanding capturing stunning photos and videos the premium build and vibrant display offer an excellent user experience the battery life is impressive with fast charging capabilities the one ui software is userfriendly and customizable however the high price may be a concern for some buyers overall its a topperforming smartphone that exceeds expectations,camera,positive,0
using it for 2 days  looks  1010 screen  1010 battery  710 camera  710,camera,neutral,0
its an excellent phone with great display performance camera it ticks almost all the boxes i faced heating issues for first 2 days while updates where happening  cons battery life first 2 days it was not even lasting one day now it improved and lasting one day but barely,display,positive,0
wonderful phone with good quality display and brilliant camera specially video with 60fps gives amazing result only backdraw is battery life phone needs to be charge 23 times a day but if you have 25w fast charger it will be enough,display,positive,0
everything thing on this device is very good camera is awesome if you can manage battery efficiently then it is going to give you a good backup and with original charger it charge very fastbut if you dont know how to manage battery efficiently then you will face battery backup issue and if you know how to efficiently use this phone then phone will never heatbut if you dont know how to use this efficiently then you will face heating issue display is fantastic build quality is very good looks rich i am using this device performance and battery efficiently so im not facing any battery or heating issue phone works fast and can also play games on very good graphics i have experienced the phone charges very fast,display,positive,0
pros 1 camera flagship level 2 display excellent 3 sound decent 4 softwareui excellent  cons 1 battery life is poor requires to be charged 2 times in a day had m51 previously which easily lasted for 2 days on medium usage even after 3 years this one is a very step down from that 2 phone gets heated on medium usage excluding gaming but still manageable,display,positive,0
its an excellent phone with great display performance camera it ticks almost all the boxes i faced heating issues for first 2 days while updates where happening  cons battery life first 2 days it was not even lasting one day now it improved and lasting one day but barely,performance,positive,0
very poor battery performance  otherwise average mobile  battery never lasts long not recommended at all,performance,negative,0
everything thing on this device is very good camera is awesome if you can manage battery efficiently then it is going to give you a good backup and with original charger it charge very fastbut if you dont know how to manage battery efficiently then you will face battery backup issue and if you know how to efficiently use this phone then phone will never heatbut if you dont know how to use this efficiently then you will face heating issue display is fantastic build quality is very good looks rich i am using this device performance and battery efficiently so im not facing any battery or heating issue phone works fast and can also play games on very good graphics i have experienced the phone charges very fast,performance,positive,0
battery performance is very poor and i am not satisfied buying this device,performance,negative,0
worst camera ever seen also in display settings i cant change color mode to vivid it just doesnt work also i didnt receive free charger very bad experiences only good thing is design,display,negative,0
fulfilled my expectations the stunning design display new one ui 61 new ai are the highlights of it  however flipkart service is worst part of prebooking offer they are supposed to providefree wireless charge but not provided i dont recommend flipkart,display,positive,0
nice compact phone with great display and camera cons are heating and battery performance,display,positive,0
mobile has hagging issue and gets shutdown immediately it happens regularly and battery is not up to the mark camara quality is average design and display is the only positive performance and software has lot many issues and heating problem still there in this samsung s24,display,positive,0
nice android phone   performance display all looks awesome   too early to say as of now but would be best android phone of 2024,display,positive,0
very good display and camera wonderful night mode and the 3x telephoto lens is incredible battery life is average 6 hrs of screen on time processor is also very good maybe not as great as 8 gen 3 but more than enough for most usage,display,positive,0
if you want to purchase a camera phone then this would be the best option for you absolutely loved the pictures clicked on this phone also the display and the design is very awesome,display,positive,0
nice compact phone with great display and camera cons are heating and battery performance,battery,positive,0
mobile has hagging issue and gets shutdown immediately it happens regularly and battery is not up to the mark camara quality is average design and display is the only positive performance and software has lot many issues and heating problem still there in this samsung s24,battery,positive,0
very good display and camera wonderful night mode and the 3x telephoto lens is incredible battery life is average 6 hrs of screen on time processor is also very good maybe not as great as 8 gen 3 but more than enough for most usage,battery,positive,0
its an excellent phone with great display performance camera it ticks almost all the boxes i faced heating issues for first 2 days while updates where happening  cons battery life first 2 days it was not even lasting one day now it improved and lasting one day but barely,battery,positive,0
awesome phone  camera is unbeatable in this price segment battery drain so much fast  design is fabulous in hand feeling very impressive overall the s23 fe is flagship killer,battery,positive,0
battery drains fastbut all other features are top notchthis is my first samsung mobilei am satisfied  ,battery,positive,0
battery drains too fastplease dont buy samsung phonesalso heating issue,battery,neutral,0
wonderful phone with good quality display and brilliant camera specially video with 60fps gives amazing result only backdraw is battery life phone needs to be charge 23 times a day but if you have 25w fast charger it will be enough,battery,positive,0
battery performance is very poor and i am not satisfied buying this device,battery,negative,0
not fullfilled my expectations battery is draining very fast processor slow as per price sleepery touch heavy as compared,battery,neutral,0
pros 1 camera flagship level 2 display excellent 3 sound decent 4 softwareui excellent  cons 1 battery life is poor requires to be charged 2 times in a day had m51 previously which easily lasted for 2 days on medium usage even after 3 years this one is a very step down from that 2 phone gets heated on medium usage excluding gaming but still manageable,battery,positive,0
worst camera ever seen also in display settings i cant change color mode to vivid it just doesnt work also i didnt receive free charger very bad experiences only good thing is design,design,negative,0
fulfilled my expectations the stunning design display new one ui 61 new ai are the highlights of it  however flipkart service is worst part of prebooking offer they are supposed to providefree wireless charge but not provided i dont recommend flipkart,design,positive,0
mobile has hagging issue and gets shutdown immediately it happens regularly and battery is not up to the mark camara quality is average design and display is the only positive performance and software has lot many issues and heating problem still there in this samsung s24,design,positive,0
if you want to purchase a camera phone then this would be the best option for you absolutely loved the pictures clicked on this phone also the display and the design is very awesome,design,positive,0
good mobile camera quality is superb small heating issue initially the battery was drained too fast but after one week the problem automatically solved go for it,battery,positive,0
design  i liked the curved look with soft back side the free protective back case doesnt cover the curved sides of the screen even the screen gaurd lasted just 1 month since it didnt cover the edges of the screen it started to peel off i also liked that this phone has very few bloatware  battery  awesome charging speed 0 to 100 in 125 hrs at moderate usage 3 to 4 hrs of usage per day with calls and browsing no games it lasts upto 2 days  display  very good clarity  rear camera  awesome photos in low lightpoor light conditions daylight photos good but could have had more realistic colors  front camera  good it has a nice feature to capture photos with gestures  speaker  loud enough though both the top and bottom speakers are claimed to be used when phone is tilted horizontally i wasnt impressed,battery,positive,0
motorola edge 50 fusion  design  910 camera 810 mostly i like portrait mode is good battery 810 performance 810,battery,positive,0
best phone under this price range the camera quality is excellent  good video quality and battery backup is also amazing,battery,positive,0
design  i liked the curved look with soft back side the free protective back case doesnt cover the curved sides of the screen even the screen gaurd lasted just 1 month since it didnt cover the edges of the screen it started to peel off i also liked that this phone has very few bloatware  battery  awesome charging speed 0 to 100 in 125 hrs at moderate usage 3 to 4 hrs of usage per day with calls and browsing no games it lasts upto 2 days  display  very good clarity  rear camera  awesome photos in low lightpoor light conditions daylight photos good but could have had more realistic colors  front camera  good it has a nice feature to capture photos with gestures  speaker  loud enough though both the top and bottom speakers are claimed to be used when phone is tilted horizontally i wasnt impressed,display,positive,0
best phone in 2024  super camera quality impressive design superb smooth display and sound   everything is good in this phone,display,positive,0
good at camera display design and performance but comes with a average battery otherwise its a great phone,camera,positive,0
camera quality is not upto  the mark both are 12mp and 50 mp looks like same quality night shoot also very worst battery drains quickly when even not in use no expandable storage i dont expect from this brands s series segment totally waste of money,camera,negative,0
i love everything about the phone except the battery it drains so fast that i have to put the phone in power saving to use it all day at work otherwise its the best and the cameras just mindblowing,camera,positive,0
1 galaxy ai  is super fun to use 2 the camera  is awesome 3 the design is great  4 the processor is powerful but sometimes it generates heat  5 the battery  is average but since its 4500 mah thats okay,camera,positive,0
good at camera display design and performance but comes with a average battery otherwise its a great phone,design,positive,0
s23 fe its ok design and performance are okay but battery optimization is one of the worst in the segment do not expect more than 455 hrs of sot on average it gets warm on basic stuff and while on updates and downloads of big file size it gets very hot unable to hold in hands specially form edges,design,neutral,0
1 galaxy ai  is super fun to use 2 the camera  is awesome 3 the design is great  4 the processor is powerful but sometimes it generates heat  5 the battery  is average but since its 4500 mah thats okay,design,positive,0
1 camera quality bestest 2 display like a wow 3 speaker sound is just awesome  the only negative thing i would say is the battery which is not much of a big issue as its optimized well the blue colour doesnt seem that blue it almost looks like white and the back comes with ceramic finish which gives the matte texture while touching,camera,positive,0
the camera quality is just amazing but the battery backup could be better if you are not a heavy user you should go for it absolutely amazing device,camera,positive,0
upgraded from iphone 11 the camera quality is awesome the display quality is great and the dynamic island working perfectly happy with apple and flipkart,camera,positive,0
over mobile is very nice  1010 point on camera  battery just drain fastest,camera,positive,0
amazing phone with great camera quality  totally worth it,camera,positive,0
lovely performance  battery backup is good  camera quality is osm,camera,positive,0
